Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
DeepCool MYSTIQUE 360 Liquid Cooler with TFT LCD Screen,deepcoolmystique360liquidtftlcdscreen,,,,,,,59000.0,In Stock,https://www.winsoft.lk/product/deepcool-mystique-360/
DeepCool AG620 DIGITAL Air Cooler,deepcoolag620digitalair,,,,,,,26000.0,In Stock,https://www.winsoft.lk/product/deepcool-ag620-digital-air-cooler/
Armaggeddon Infineon Loop 12CM RGB Cooling Fan,armaggeddoninfineonloop12cmrgbcoolingfan,,,,,,,2500.0,Out of Stock,https://www.winsoft.lk/product/armaggeddon-infineon-loop-cooling-fan/
Eco Series ARGB Center Lighting Kit PC Cooling Fans,ecoargbcenterlightingkitpccoolingfans,,,,,,,5500.0,Out of Stock,https://www.winsoft.lk/product/argb-center-lighting-kit-pc-cooling-fans/
DeepCool LD360 360mm Liquid Cooler with Triple Status Display,deepcoolld360360mmliquidtriplestatusdisplay,,,,,,,42500.0,Out of Stock,https://www.winsoft.lk/product/deepcool-ld360-360mm-liquid-cooler/
DeepCool AG400 DIGITAL PLUS Air Cooler,deepcoolag400digitalplusair,,,,,,,21500.0,Out of Stock,https://www.winsoft.lk/product/deepcool-ag400-digital-plus-air-cooler/
Eco Series RGB Lighting Kit (Fixed Colors) PC Cooling Fans,ecorgblightingkitpccoolingfans,,,,,,,3500.0,Out of Stock,https://www.winsoft.lk/product/eco-series-rgb-lighting-kit-pc-cooling-fans/
Silverstone IceMyst 360 All-in-One ARGB Liquid Cooler,silverstoneicemyst360allinoneargbliquid,,,,,,,42500.0,Out of Stock,https://www.winsoft.lk/product/silverstone-icemyst-360-liquid-cooler/
Silverstone IceMyst 240 All-in-One ARGB Liquid Cooler,silverstoneicemyst240allinoneargbliquid,,,,,,,34500.0,Out of Stock,https://www.winsoft.lk/product/silverstone-icemyst-240-liquid-cooler/
DeepCool FC120 Black 3 IN 1 RGB PWM Fan,deepcoolfc120black3in1rgbpwmfan,,,,,,,15000.0,Out of Stock,https://www.winsoft.lk/product/deepcool-fc120-black-3-in-1-rgb-pwm-fan/
AORUS WATERFORCE X360 with LCD Display AIO Liquid Cooler,aoruswaterforcex360lcddisplayaioliquid,,,,,,,99000.0,Out of Stock,https://www.winsoft.lk/product/aorus-waterforce-x360-with-lcd-display-aio-liquid-cooler/
THERMALTAKE TH360 ARGB Sync Liquid Cooler,thermaltaketh360argbsyncliquid,,,,,,,45000.0,Out of Stock,https://www.winsoft.lk/product/thermaltake-th360-argb-sync-liquid-cooler/
1155 / 1150 INTEL STOCK COOLER,11551150intelstock,1250.0,In Stock,https://computerzone.lk/product/1155-1150-intel-stock-cooler/,,,,,,
120MM RGB RUNNING FAN,120mmrgbrunningfan,1500.0,In Stock,https://computerzone.lk/product/120mm-rgb-running-fan/,,,,,,
7 PRO ARGB 3 FAN KIT WITH REMOTE CONTROLLER,7proargb3fankitremotecontroller,8000.0,In Stock,https://computerzone.lk/product/7-pro-argb-3-fan-kit/,,,,,,
7 PRO ARGB 3 PIN PWM HEADER FAN,7proargb3pinpwmheaderfan,2000.0,In Stock,https://computerzone.lk/product/7-pro-argb-3-pin-pwm-header-fan/,,,,,,
AMD STOCK COOLER AM4,amdstockam4,3000.0,In Stock,https://computerzone.lk/product/amd-stock-cooler-am4/,,,,,,
ANTEC A30 NEO ARGB CPU COOLER,anteca30neoargb,9000.0,Out of Stock,https://computerzone.lk/product/antec-a30-neo-argb-cpu-cooler/,,,,,,
ANTEC C120 ARGB 3 FAN PACK (BLACK),antecc120argb3fan,9000.0,In Stock,https://computerzone.lk/product/antec-c120-argb-3-fan-pack-white/,,,,,,
ANTEC F12 RACING ARGB PWM 120MM CASE FAN,antecf12racingargbpwm120mmcasefan,3000.0,In Stock,https://computerzone.lk/product/antec-f12-racing-argb-pwm-120mm-case-fan/,,,,,,
ANTEC SYMPHONY 240 ARGB 12TH GEN SUPPORT LIQUID COOLER,antecsymphony240argb12thsupportliquid,27500.0,In Stock,https://computerzone.lk/product/antec-symphony-240-argb-12th-gen-support-liquid-cooler/,,,,,,
ANTEC SYMPHONY 360 ARGB LGA 1700 & AM5 SUPPORTED LIQUID COOLER,antecsymphony360argblga1700am5supportedliquid,25000.0,Out of Stock,https://computerzone.lk/product/antec-symphony-360-argb-lga-1700-am5/,,,,,,
ARCTIC LIQUID FREEZER III 360 PRO A-RGB COOLER (6Y),arcticliquidfreezeriii360proargb,45000.0,In Stock,https://computerzone.lk/product/arctic-liquid-freezer-iii-360-pro-a-rgb/,,,,,,
COOLER MASTER I30 CPU AIR COOLER (INTEL),masteri30air,2000.0,In Stock,https://computerzone.lk/product/cooler-master-i30-cpu-air-cooler-intel/,,,,,,
COOLER MASTER I50 CPU AIR COOLER (INTEL),masteri50air,3000.0,In Stock,https://computerzone.lk/product/cooler-master-i50-cpu-air-cooler-intel/,,,,,,
COOLER MASTER T400K CPU AIR COOLER,mastert400kair,7500.0,Out of Stock,https://computerzone.lk/product/cooler-master-t400k-cpu-air-cooler/,,,,,,
CORSAIR A115 TWIN 120MM CPU AIR COOLER,corsaira115twin120mmair,36500.0,In Stock,https://computerzone.lk/product/corsair-a115-twin-120mm-cpu-air-cooler/,,,,,,
CORSAIR H100 RGB 240MM LIQUID CPU COOLER,corsairh100rgb240mmliquid,33500.0,Out of Stock,https://computerzone.lk/product/corsair-h100-rgb-240mm-liquid-cpu-cooler/,,,,,,
